Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
299,1620295611692,-0.03,-0.535,-0.565
300,1620295611692,0.0,-0.592,-0.58
301,1620295611692,-0.06,-0.565,-0.536
302,1620295611692,-0.02,-0.538,-0.575
303,1620295611692,-0.01,-0.573,-0.545
304,1620295611692,-0.1,-0.529,-0.545
305,1620295611692,0.05,-0.58,-0.591
306,1620295611692,-0.09,-0.565,-0.546
307,1620295611692,-0.04,-0.54,-0.56
308,1620295611692,-0.04,-0.567,-0.548
309,1620295611692,-0.09,-0.544,-0.536
310,1620295611692,0.08,-0.564,-0.588
311,1620295611692,-0.03,-0.583,-0.565
312,1620295611692,-0.04,-0.546,-0.562
313,1620295611692,-0.04,-0.568,-0.557
314,1620295611692,-0.12,-0.552,-0.522
315,1620295611692,0.02,-0.539,-0.578
316,1620295611692,0.0,-0.587,-0.572
317,1620295611692,-0.05,-0.547,-0.548
318,1620295611692,0.0,-0.554,-0.576
319,1620295611692,-0.1,-0.55,-0.537
320,1620295611692,-0.03,-0.532,-0.575
321,1620295611693,0.01,-0.59,-0.573
322,1620295611693,-0.05,-0.555,-0.531
323,1620295611693,-0.02,-0.553,-0.573
324,1620295611693,-0.05,-0.561,-0.546
325,1620295611693,-0.09,-0.528,-0.553
326,1620295611693,0.02,-0.587,-0.582
327,1620295611693,-0.05,-0.563,-0.547
328,1620295611693,0.0,-0.551,-0.578
329,1620295611693,-0.01,-0.564,-0.551
330,1620295611693,-0.1,-0.533,-0.547
331,1620295611693,0.07,-0.58,-0.59
332,1620295611693,-0.07,-0.571,-0.562
333,1620295611693,-0.05,-0.536,-0.56
334,1620295611693,-0.07,-0.567,-0.547
335,1620295611693,-0.09,-0.544,-0.538
336,1620295611693,0.07,-0.557,-0.587
337,1620295611693,0.0,-0.573,-0.568
338,1620295611693,-0.06,-0.533,-0.549
339,1620295611693,-0.05,-0.566,-0.56
340,1620295611693,-0.1,-0.55,-0.528
341,1620295611693,0.0,-0.545,-0.573
342,1620295611693,0.0,-0.593,-0.574
343,1620295611693,-0.07,-0.549,-0.534
344,1620295611693,0.0,-0.548,-0.575
345,1620295611693,-0.02,-0.562,-0.555
346,1620295611694,-0.02,-0.551,-0.563
347,1620295611694,0.01,-0.595,-0.577
348,1620295611694,-0.09,-0.556,-0.527
349,1620295611694,-0.02,-0.541,-0.568
350,1620295611694,-0.02,-0.56,-0.557
351,1620295611694,-0.06,-0.546,-0.556
352,1620295611694,0.05,-0.566,-0.587
353,1620295611694,-0.1,-0.57,-0.537
354,1620295611694,-0.05,-0.536,-0.562
355,1620295611694,-0.02,-0.569,-0.551
356,1620295611694,-0.04,-0.547,-0.541
357,1620295611694,0.06,-0.572,-0.585
358,1620295611694,-0.04,-0.573,-0.566
359,1620295611694,-0.06,-0.528,-0.554
360,1620295611694,-0.06,-0.576,-0.553
361,1620295611694,-0.07,-0.545,-0.531
362,1620295611694,0.02,-0.545,-0.581
363,1620295611694,0.01,-0.591,-0.572
364,1620295611694,-0.07,-0.53,-0.55
365,1620295611694,-0.01,-0.565,-0.575
366,1620295611694,-0.12,-0.552,-0.528
367,1620295611694,0.0,-0.547,-0.578
368,1620295611694,0.01,-0.596,-0.575
369,1620295611695,-0.1,-0.553,-0.535
370,1620295611695,0.0,-0.547,-0.576
371,1620295611695,-0.06,-0.566,-0.547
372,1620295611695,-0.02,-0.544,-0.562
373,1620295611695,0.0,-0.593,-0.585
374,1620295611695,-0.12,-0.56,-0.526
375,1620295611695,-0.02,-0.538,-0.566
376,1620295611695,-0.01,-0.57,-0.554
377,1620295611695,-0.03,-0.545,-0.556
378,1620295611695,0.06,-0.578,-0.597
379,1620295611695,-0.09,-0.568,-0.553
380,1620295611695,-0.06,-0.484,-0.535
381,1620295611695,-0.07,-0.566,-0.551
382,1620295611695,-0.06,-0.494,-0.516
383,1620295611695,0.07,-0.52,-0.573
384,1620295611695,-0.03,-0.55,-0.535
385,1620295611695,-0.07,-0.506,-0.522
386,1620295611695,-0.03,-0.549,-0.534
387,1620295611695,-0.12,-0.546,-0.524
388,1620295611695,0.01,-0.555,-0.577
389,1620295611695,0.02,-0.586,-0.567
390,1620295611695,-0.07,-0.543,-0.538
391,1620295611696,0.01,-0.55,-0.568
392,1620295611696,-0.1,-0.553,-0.543
393,1620295611696,-0.01,-0.553,-0.575
394,1620295611696,0.01,-0.585,-0.576
395,1620295611696,-0.07,-0.56,-0.537
396,1620295611696,-0.01,-0.539,-0.57
397,1620295611696,-0.07,-0.566,-0.55
398,1620295611696,-0.03,-0.536,-0.562
399,1620295611696,0.0,-0.588,-0.584
400,1620295611696,-0.1,-0.568,-0.53
401,1620295611696,-0.03,-0.538,-0.578
402,1620295611696,-0.03,-0.575,-0.548
403,1620295611696,-0.06,-0.53,-0.538
404,1620295611696,0.03,-0.587,-0.588
405,1620295611696,-0.06,-0.575,-0.545
406,1620295611696,-0.05,-0.537,-0.565
407,1620295611696,-0.04,-0.583,-0.555
408,1620295611696,-0.09,-0.535,-0.532
409,1620295611696,0.08,-0.556,-0.59
410,1620295611696,-0.01,-0.58,-0.567
411,1620295611696,-0.04,-0.541,-0.559
412,1620295611696,-0.03,-0.576,-0.568
413,1620295611696,-0.13,-0.546,-0.521
414,1620295611696,0.01,-0.542,-0.574
415,1620295611696,0.0,-0.583,-0.571
